Location,Date,A/T(¡ÆC),MI/T(¡ÆC),MA/T(¡ÆC),D/P(mm),MA/W,A/W(m/s),A/PT(¡ÆC),A/RH(%),A/SP(hPa),A/LAP(hPa),MA/SLP(hPa),MI/SLP(hPa),A/SLP(hPa),TST(hr),A/GT(¡ÆC),T/RYN
90,2014-07-14,28.4,25,33.4,,5.8,2.2,17.1,51.4,19.5,1003.3,1007.6,1002.9,1005.4,12.8,31.1,X
90,2014-07-15,25.9,21.8,29.9,,4.9,1.6,19,66.3,22,1006.5,1010,1006.9,1008.5,10,28.7,X
90,2014-07-16,26.7,23.6,29.9,,4.9,2.3,20.4,68.9,24,1006.5,1009.6,1006.8,1008.5,11.6,33.3,X
90,2014-07-17,26.7,22.8,29.9,,5,2.1,20.5,69.5,24.1,1007.4,1010.4,1008.3,1009.4,11.5,33,O
90,2014-07-18,27.5,24,33.7,0,5.1,1.8,21.1,68.9,25,1007.5,1010.7,1007.5,1009.5,7.1,32.7,X
90,2014-07-19,27.2,24.1,29.2,,3.9,1.6,22.9,78.3,27.9,1008.9,1012.2,1009.6,1011,8.5,34,X
90,2014-07-20,26.2,22.8,29,,5.1,2.1,23,83.5,28.2,1008.7,1013.2,1009.2,1010.8,11.4,33.7,X
90,2014-07-21,27.6,22.5,31.7,,5.4,1.9,21.8,72.9,26.3,1003.9,1009.3,1003.3,1005.9,11.9,34.6,O
90,2014-07-22,28.1,24.9,31.4,3,6.5,2.6,20.4,65,24.2,1001.4,1004.9,1001.9,1003.4,0.1,28,O
90,2014-07-23,27.8,25.3,30.8,0.1,6.3,2,21.3,68.9,25.4,1000.4,1003.2,1001.3,1002.4,0.8,26.6,O
90,2014-07-24,27,23.6,31.3,0.1,3.5,1.5,19.1,62.3,22.1,1002.4,1006.7,1001.9,1004.5,7.8,29.2,O
90,2014-07-25,22,19.6,26,45.5,5.1,1.3,21.3,96.1,25.3,1005.5,1010.5,1001.4,1007.6,0,23.1,O
90,2014-07-26,26.1,20.3,32.1,8,7.3,3.9,20.2,72.4,23.8,1001.1,1010.9,995.6,1003.1,7.3,25.1,O
90,2014-07-27,22.9,19.8,26.4,1,3.3,1.6,20.1,85.5,23.5,1008.9,1012.3,1009.8,1011,11.5,26.7,X
90,2014-07-28,23.3,18.9,27.1,,4.9,2,19.6,81.3,22.8,1007.4,1010.8,1008.5,1009.5,10.6,26.5,O
90,2014-07-29,23.1,19.6,27.7,0.5,3.1,1.5,21.1,89.5,25.1,1007.8,1010.7,1008.2,1009.9,8,25.7,X
90,2014-07-30,24.5,20.5,27.6,,4.6,1.8,23,92.4,28.2,1008.5,1011.9,1009.3,1010.6,11.8,27.7,O
90,2014-07-31,26,23.3,30.6,3.5,4,1.5,23.9,89.1,29.7,1007.4,1011,1008.2,1009.4,9.4,30.9,X
90,2014-08-01,27.5,23.5,33.3,,5.1,1.8,22.9,77.9,27.9,1006.5,1010,1007.1,1008.5,13.6,32.5,O
90,2014-08-02,26.1,23.4,28.7,0,3.1,1.5,25.7,97.9,33,1004.2,1008.2,1004.5,1006.2,3.8,28.8,O
90,2014-08-03,24.4,23.8,25.7,36.5,6.3,2.1,24.3,100,30.3,998.7,1005,998.1,1000.7,0,25.1,O
90,2014-08-04,25.2,23.9,28.1,1,2.6,1,25.1,100,31.9,996.5,1000.2,997.7,998.5,2.2,27.9,X
90,2014-08-05,26.7,24.5,29.4,,3.6,1.5,25.5,94.4,32.8,1000,1003.3,999.7,1002,9.3,30.5,O
90,2014-08-06,26,23.4,30,2.5,3.3,1.2,24.4,92.4,30.6,1002.3,1006.2,1001.9,1004.4,0,26.5,O
90,2014-08-07,23.3,20.7,26.5,0,4.3,1.9,20.3,83.5,23.8,1005.2,1010.3,1005.1,1007.2,1.3,24.2,X
90,2014-08-08,23.3,19.3,27.1,,3.6,1.5,20.9,87,24.7,1009.6,1012.8,1009.6,1011.7,11.7,28.5,O
90,2014-08-09,23.8,20.6,26.8,7,6.3,2.9,20.7,84,24.4,1008,1012.1,1007.3,1010.1,6.8,26.7,O
90,2014-08-10,22.8,20.7,23.9,37,8.1,5.8,22.7,99.5,27.6,1000.4,1007.4,1000,1002.5,0,22.6,O
90,2014-08-11,24.7,17.9,30.8,1,4.2,1.7,18.1,69.4,20.8,997.3,1002.4,997.5,999.4,12.7,26.3,X
90,2014-08-12,26.8,22.6,32.3,,5.2,2.1,18.1,60.3,20.9,1000.4,1005.4,999.8,1002.5,12.8,27.9,O
90,2014-08-13,23.9,21,27.4,3.5,3.2,1.3,20.9,84.6,24.8,1006.1,1010.6,1005.2,1008.2,0.2,24.9,O
90,2014-08-14,21.8,20.2,24.8,3,3.5,1.1,20.5,93,24.1,1007.8,1010.8,1008.8,1009.9,0,22.8,X
90,2014-08-15,22.4,19.7,25.4,,3.2,1.5,21,92.9,25,1007.7,1010.7,1008.8,1009.8,4.3,24.9,X
90,2014-08-16,24,21.3,27.3,,5,2,22.9,94,27.9,1008.8,1011.8,1009.9,1010.9,10.8,26.8,O
90,2014-08-17,22.3,20.3,23.7,8,3,1.1,22.2,100,26.9,1011.8,1015.4,1011.3,1013.9,0,23.7,O
90,2014-08-18,20.4,19.6,21.4,49,3.9,1.6,20.3,100,23.9,1010.3,1014.8,1010.8,1012.4,0,21.9,O
90,2014-08-19,20.2,18.9,21.2,23.5,3.6,1.5,20.1,100,23.6,1009.7,1013,1010.3,1011.8,0,20.9,O
90,2014-08-20,22.2,20.2,24.6,0.1,2.6,1.1,21.8,97.8,26.1,1009.8,1013,1010.7,1011.9,1.1,23.9,O
90,2014-08-21,21.8,21,22.9,73.5,6.6,1.9,21.7,100,26,1005.6,1011,1004.9,1007.7,0,22.2,X
90,2014-08-22,26.8,20.4,31,,5,2.1,18.7,62.8,21.6,1005.3,1008.8,1006.1,1007.3,10.1,25.4,X
90,2014-08-23,28.1,24.9,32.1,,3.9,1.8,19.9,61.8,23.3,1005.5,1008.4,1006.2,1007.5,7.1,26.7,O
90,2014-08-24,25.4,22.4,28.7,0,2.9,1.4,20,72.9,23.5,1006.4,1009.6,1007.1,1008.4,7.9,26.5,O
90,2014-08-25,22.9,20.8,25.9,4,4.9,1.5,22.7,98.8,27.6,1007.9,1011.6,1008.6,1010,0,23.7,O
90,2014-08-26,20.7,18.8,22.3,44.5,4.8,2.5,19.9,96,23.2,1011.8,1016.8,1010.8,1013.9,0,21.1,O
90,2014-08-27,20.4,18,24.1,2,3.4,1.8,18.3,89.4,21,1015.8,1019.2,1016.2,1017.9,3.6,23,X
90,2014-08-28,21.3,17.3,24.8,,4,2.1,18.6,85.8,21.5,1015.6,1019,1016.3,1017.7,8,23.1,X
90,2014-08-29,21.8,18.9,25.3,,3.2,1.6,19,85.5,22,1015.5,1018.3,1016.8,1017.6,8.4,24.8,X
90,2014-08-30,21.1,17.7,25.2,,4.1,2,17.4,81.4,20,1014.1,1018,1014.6,1016.2,12.2,24.3,X
90,2014-08-31,21,15.6,25.2,,3.9,1.7,16.7,78.1,19,1012.4,1015.4,1013.6,1014.5,12.3,24.1,X
90,2014-09-01,21.6,18.1,25.8,,2.5,1.6,18.3,82.4,21,1013.7,1016.5,1015.1,1015.8,11.2,25.2,O
90,2014-09-02,21.8,18.1,24.7,1.5,4.5,2,19,85,22.1,1012,1016.5,1010.6,1014.1,1.3,23.4,O
90,2014-09-03,19.7,18.2,22.2,138,5.7,2.7,19.6,100,22.8,1003,1010.5,1002.7,1005.1,0,20.1,O
90,2014-09-04,24.3,19.2,29,2,4.2,1.8,17.5,68.6,20,1003.5,1007.8,1004.1,1005.6,12.3,23.9,X
90,2014-09-05,25.6,19.6,31,,4.1,1.8,16.2,57.1,18.5,1008.1,1011.7,1007.7,1010.2,11.6,24.3,X
90,2014-09-06,23.3,20.5,26.4,,2.8,1.3,20.8,86.8,24.6,1010,1013.9,1010.9,1012.1,4.5,24.6,X
90,2014-09-07,22.5,19.7,25.6,,2.9,1.5,21.2,93.4,25.2,1007.6,1011.7,1008.2,1009.7,2.7,23.8,X
90,2014-09-08,22.6,18.3,26.1,,4,1.9,20.5,89.1,24.2,1004.1,1008.3,1003.9,1006.2,11.3,24.6,X
90,2014-09-09,22.3,18.2,25.2,,4.8,1.9,17.6,76,20.1,1005.9,1009.4,1005.6,1008,9.6,24.1,O
90,2014-09-10,21.2,17.8,25.4,0,3.9,1.7,19,88.4,21.9,1009,1013.6,1009.1,1011.1,8.2,23.6,X
90,2014-09-11,21.1,17.7,25.6,,3.5,1.8,18.5,86.3,21.3,1011.8,1015,1013,1013.9,9.5,23.7,O
90,2014-09-12,21.2,17.7,24.7,2,3,1.7,18.3,85,21,1012.8,1016,1014,1014.9,6.7,23.7,O
90,2014-09-13,20.8,17.3,25,7,2.8,1.5,17.1,81,19.6,1015,1017.9,1015.6,1017.1,11.9,23,X
90,2014-09-14,20.6,15.1,24.5,,5,2.1,16.5,77.9,18.8,1013.7,1017.8,1013.8,1015.8,9.9,22.2,O
90,2014-09-15,21.2,18.1,27.2,1.5,4.5,1.6,18.3,85.5,21,1010.6,1013.9,1011.6,1012.7,3.7,22,X
90,2014-09-16,19.5,16.5,23,,5.1,2,15.5,79.3,17.6,1013.9,1017.4,1013.9,1016,7.7,20.4,O
90,2014-09-17,18.8,15.6,23.3,6,5.5,2.1,16.4,86.9,18.7,1015.4,1019.2,1016,1017.6,1,20.2,X
90,2014-09-18,18.9,14.9,23.8,,3.2,1.9,14.4,76.5,16.4,1015.7,1019.7,1016.1,1017.9,11.8,20.3,X
90,2014-09-19,20.2,14.5,24.1,,3.6,1.6,14.7,72.9,17,1012.3,1016.3,1012.9,1014.4,11,20.3,O
90,2014-09-20,20,15.1,24.6,0,3.3,1.7,16.4,81.1,18.7,1012.6,1016.2,1013.2,1014.7,11.1,21.9,O
90,2014-09-21,19,15.4,22.8,4.5,3,1.6,16.4,85.6,18.8,1015.4,1018.9,1015.3,1017.5,1.9,19.2,X
90,2014-09-22,19.5,16,23.4,,3.9,1.9,16.8,85.8,19.1,1018.2,1021.4,1018.6,1020.3,9.6,20.8,X
90,2014-09-23,20.3,15.7,24.1,,4.5,2.1,17.3,83.6,19.7,1016.3,1021.1,1015.3,1018.4,8.6,21.5,O
90,2014-09-24,18.1,16.4,19.6,8,3.8,1.3,17.5,97.3,20.1,1009.3,1015.3,1009.5,1011.4,0,18.6,O
90,2014-09-25,18.3,15.8,20.8,2.5,3,1.5,17.3,95,19.8,1012.9,1017.7,1010.8,1015,0,18.2,X
90,2014-09-26,19.1,15.9,22.3,,4.7,1.9,15,78.6,17.1,1016,1020.2,1016.9,1018.1,3.4,19.4,X
90,2014-09-27,20.4,14.2,25.5,,5.6,1.6,15.9,77.1,18,1013.2,1017.2,1014,1015.3,9.2,19.4,O
90,2014-09-28,20.9,18.2,23.8,0,3.8,1.6,17.5,81.8,20,1014.1,1017.3,1015,1016.2,4.6,20.4,O
90,2014-09-29,20,18.2,23.6,1.5,4.5,1.4,17.9,88.9,20.7,1010.3,1015.2,1010.1,1012.4,0.5,19.8,O
90,2014-09-30,14.5,12.7,21.3,6.5,9.1,2.8,13.5,94.3,15.5,1018.8,1023.6,1012,1021,0,15.8,X
90,2014-10-01,16.6,13.6,19.9,,4.9,2,14.7,89.3,16.7,1015.9,1021.5,1015,1018.1,3.3,17,O
90,2014-10-02,18.1,13.7,22.9,0.5,4.2,1.3,15.7,87.1,18,1006.5,1015,1005.3,1008.6,1.6,18.2,O
90,2014-10-03,18.5,15.2,22.3,0.5,5.8,2.8,12.3,68.5,14.4,1008.9,1017.9,1004.7,1011,7.2,16.7,O
90,2014-10-04,15.5,13.1,17.8,5.5,4.9,2.2,11.4,79.1,13.7,1020.4,1025,1017.6,1022.6,0,14.9,X
90,2014-10-05,15.4,11.2,20.1,,3.6,2.1,8.9,66.6,11.4,1019,1024.7,1018.5,1021.2,6.4,14.3,X
90,2014-10-06,14.7,11.1,19.2,,6.4,2.4,9.4,72.3,11.8,1017.1,1021.6,1017,1019.2,8.2,14.3,X
90,2014-10-07,16.1,9.4,21.2,,5.5,2.4,9.9,68,12.4,1018.9,1022.7,1019.4,1021,10.9,14.9,X
90,2014-10-08,16.9,12.5,22.2,,2.8,1.5,8.9,60.9,11.5,1019.8,1023,1020.8,1022,10.8,16.4,X
90,2014-10-09,17.6,10.9,22.3,,4.3,1.8,11.9,70.8,14.1,1017.4,1021.9,1017.1,1019.5,10.6,17.3,O
90,2014-10-10,17.6,14.4,19.8,0,6.8,2.8,13.1,75.4,15.1,1023.4,1027.8,1018,1025.6,0.1,15.9,X
90,2014-10-11,16.5,13.2,20.5,,3.4,1.7,12.6,79,14.6,1024.8,1027.7,1026,1027,5.3,17.4,X
90,2014-10-12,16.9,11.4,21,,5,2,14.6,87.6,16.6,1018.9,1026,1017.9,1021.1,10.4,17.8,O
90,2014-10-13,14.9,11.2,19.8,2,10.1,5.5,10.3,74.5,12.8,1015.7,1019.7,1016.5,1017.8,0,14.3,X
90,2014-10-14,12.4,7.8,17,,3.3,1.9,5.9,66,9.3,1015.6,1018.8,1016.8,1017.8,8.1,15,X
90,2014-10-15,14.4,7.9,19.3,,4.2,1.8,6,58.5,9.4,1014.2,1018.6,1014.5,1016.3,10.6,14.1,O
90,2014-10-16,15.2,11.3,19.5,0.5,5.9,2.7,2.6,44.8,7.7,1013.7,1020.2,1013.5,1015.9,8.5,13.6,X
90,2014-10-17,15.7,8.5,21.2,,5.6,2.1,-0.2,34.5,6,1018.6,1022.8,1018.9,1020.7,10.5,13.7,X
90,2014-10-18,17,11.9,22.6,,4.8,1.7,8,56.5,10.8,1019.9,1023.2,1020.4,1022.1,9.9,15.5,X
90,2014-10-19,17.6,12.2,21.7,,3.9,1.3,9.5,60.3,12,1018.8,1023.4,1018.1,1020.9,7.6,15.7,O
90,2014-10-20,16,13.1,20,9.5,4.4,1.7,13.5,88,15.8,1014.8,1019.7,1014.1,1017,3,16.5,O
90,2014-10-21,13.6,11,17.2,21,6.5,3.5,12.2,92,14.4,1018.9,1022.9,1017.9,1021.1,0,13.1,O
90,2014-10-22,11.3,6.8,13.2,0.1,4.9,1.8,6.5,74,9.7,1020.6,1024.1,1021,1022.8,0,10.9,X
90,2014-10-23,13,6.6,17.8,,4.8,1.9,7.8,71.8,10.6,1017.6,1022.9,1017.5,1019.7,10.2,11.4,X
90,2014-10-24,17.8,11.6,22.2,,4.3,1.7,9.7,60.3,12.1,1015.1,1018.7,1015.5,1017.2,9.7,14,X
90,2014-10-25,19.9,14.9,24.2,,3.9,1.9,9.2,51.9,11.8,1014.5,1018.2,1015.3,1016.6,10.1,15.3,O
90,2014-10-26,20.3,14.9,24.6,0,11.6,3.9,5.6,40.4,9.4,1012.5,1018.2,1011.8,1014.6,9.8,15.5,X
90,2014-10-27,12.2,8.6,15.6,,7.2,2.2,0.7,46.6,6.6,1020.2,1024.1,1018.2,1022.4,9.9,12.5,X
90,2014-10-28,12.3,8.1,17.4,,3.1,1.9,4,58.1,8.4,1023.2,1027.1,1023.9,1025.4,10.1,11.9,X
90,2014-10-29,13.3,7.8,18.5,,3.1,1.5,3.7,53.6,8.2,1023.2,1026.6,1024.7,1025.4,10.1,12.2,X
90,2014-10-30,15,10.1,19.1,,2.6,1.5,6.9,59.4,10.2,1021.7,1025.6,1022.3,1023.8,8.4,13.4,O
90,2014-10-31,16,12.8,18.6,0,4.8,1.7,12.5,80.3,14.6,1017.4,1022.4,1016.9,1019.5,1.3,15.1,O
90,2014-11-01,15.5,13.4,18.7,0.4,2.6,1.2,14.2,92.8,16.3,1010.7,1016.9,1008.8,1012.8,0.2,15.1,O
90,2014-11-02,14.1,9.2,18.7,0,8.6,4.1,1,43,7.3,1005.4,1013,1003.9,1007.6,7.3,13.5,X
90,2014-11-03,10.5,5.7,14.7,,8.7,3.1,-6.4,30.1,3.8,1013.1,1018,1012.9,1015.3,9.9,10.3,X
90,2014-11-04,13.2,7.6,18.7,,4.7,1.9,1.9,46.9,7.1,1017.8,1021.8,1018,1020,10,11.8,X
90,2014-11-05,14.3,7.8,18.7,,4.1,1.6,3.4,48.3,7.9,1016.6,1020.8,1016.7,1018.8,9.9,12.9,O
90,2014-11-06,14.8,11.9,19.5,4,7.7,2.5,7.6,63,10.5,1017.7,1024.1,1017.6,1019.8,4.5,13.8,O
90,2014-11-07,9,8,11.9,9.5,4.2,1.7,8.9,100,11.4,1024.7,1028.1,1024.1,1026.9,0,10.2,X
90,2014-11-08,11.2,8.4,13.6,,2.3,1.4,10,93.5,12.3,1022.7,1027.4,1022.6,1024.9,0,10.7,X
90,2014-11-09,12.4,8.1,16.5,,4.5,1.7,3.4,59.1,8.4,1019.3,1022.7,1020,1021.5,9,11.6,X
90,2014-11-10,10.9,6.9,16,,2.7,1.6,-0.7,46.5,6,1019,1023.6,1018.9,1021.2,9.6,9.2,X
90,2014-11-11,12.7,6.5,18.1,,5.1,2,-0.7,40.4,5.8,1011.5,1019,1009.1,1013.7,9.4,8.9,O
90,2014-11-12,8.4,0.6,13.8,0,8.2,4.6,-4.9,40.3,4.7,1006.2,1016.1,1003.9,1008.4,8,8.9,X
90,2014-11-13,2.1,-1.9,5.1,,8.9,4.2,-16.2,24.6,1.8,1016.3,1020.6,1016.1,1018.6,9.3,3.7,X
90,2014-11-14,6.8,2.3,10.5,,8.3,4.1,-9.2,31.5,3.2,1019.1,1024.1,1019.6,1021.3,9.5,5.8,X
90,2014-11-15,6.7,3.4,10.9,,3.3,1.8,-6.6,39.3,3.8,1024.7,1028.5,1024.1,1027,9.6,6.2,X
90,2014-11-16,7.4,4,11.8,,2.8,1.5,-4.8,42.5,4.4,1022.1,1027.5,1022.2,1024.3,6.4,7.1,X
90,2014-11-17,8.2,5.3,11.4,,6.2,2.3,-0.6,54.6,5.9,1020.3,1024.6,1021.3,1022.6,8.9,7.8,X
90,2014-11-18,7.4,4,12,,3.3,1.6,-2.6,49.9,5.1,1023.8,1027.2,1024.6,1026,9.3,6.9,X
90,2014-11-19,8,3.7,12.9,,2.9,1.7,-4.2,42.8,4.6,1023.9,1027.9,1024.7,1026.2,9.3,6.5,X
90,2014-11-20,10,5.3,14.7,,3.9,1.8,-1.5,45.3,5.5,1021.1,1025.1,1022,1023.3,9.2,7.5,X
90,2014-11-21,13.1,6.8,18.3,,4.4,1.5,3.9,54.6,8.1,1018.9,1022.4,1019.2,1021.1,7.2,11,X
90,2014-11-22,12.5,9.4,15.3,,5.3,1.8,7.2,70.9,10.2,1020.8,1025.6,1021.1,1023,0,10.7,X
90,2014-11-23,10,6.7,13.9,,3.7,1.6,4.6,70.6,8.6,1023.3,1028,1023.1,1025.5,5.7,8.6,O
90,2014-11-24,10.4,6.9,14.8,1,4.7,1.7,3.7,65.9,8.1,1018.9,1023.2,1019.9,1021.1,0.6,8.9,O
90,2014-11-25,9.2,6.6,11.6,9,6.2,3.7,5.6,80,9.2,1019.1,1023.1,1020,1021.3,0,8,O
90,2014-11-26,8.2,4.9,11.8,0.1,3.2,1.6,4.9,80.4,8.7,1017.7,1021.6,1018.8,1019.9,1.6,7.7,X
90,2014-11-27,10.1,4.1,15.4,,3.3,1.5,5.1,72.6,8.8,1020.1,1023.5,1020.7,1022.3,8.6,7,O
90,2014-11-28,9.4,6.7,11.1,25,3.6,1.9,7.4,88.9,10.4,1014.7,1021.5,1013.5,1016.9,0,7.6,O
90,2014-11-29,9.9,8.2,11.5,0.1,2.6,1.3,9.1,95.4,11.5,1018.6,1022.7,1015.6,1020.8,0,9.4,O
90,2014-11-30,9.9,7.3,11.5,2.5,4.6,1.5,9.7,99.4,12.1,1010.7,1021.1,1005.2,1012.9,0.4,8.9,O
90,2014-12-01,1.9,-5.4,11.7,0,11.3,5.2,-10.7,39.3,3.1,1005.3,1014,1001.6,1007.6,8.6,2.7,X
90,2014-12-02,-3.7,-6.6,-0.4,,9.9,5.8,-20.7,26.5,1.2,1013.5,1017.2,1013.8,1015.8,8.9,-2.5,X
90,2014-12-03,0.3,-3.2,3.3,,9.7,5,-12.8,37.1,2.3,1012.7,1017.4,1012.5,1015,8.2,-0.9,X
90,2014-12-04,-1.3,-3.9,2.2,,6.3,3,-17,29.5,1.6,1014.8,1019.1,1014.6,1017.1,9,-0.8,X
90,2014-12-05,-3,-7.9,1.7,,5.1,2.2,-17.8,31.3,1.5,1014.1,1017.5,1014.7,1016.4,9,-2,X
90,2014-12-06,-2,-4.8,1.3,,6.6,2.7,-15.7,34.6,1.8,1017.3,1024.4,1016.4,1019.6,8.7,-2,X
90,2014-12-07,-0.3,-5.5,3.7,,4.6,1.8,-14.4,34.4,2,1022.7,1026.2,1024,1025,1.2,-1,X
90,2014-12-08,2.5,-0.6,6.4,,5.4,2.2,-12.3,33.1,2.4,1025.2,1031.3,1024.7,1027.5,8.4,0.4,X
90,2014-12-09,1.9,-2.5,7.3,,3.5,1.9,-9.9,41.6,3,1031.1,1035.3,1031.2,1033.4,8.9,0.2,X
90,2014-12-10,5.7,-0.6,8.8,,5.9,2.3,-5.8,44.1,4.1,1019.9,1032.1,1016.6,1022.2,0,0.5,X
90,2014-12-11,2.8,-1.3,6.4,,7.1,3,-9.8,39.8,3,1017.1,1022.4,1015.7,1019.4,7.9,1.4,X
90,2014-12-12,-0.5,-2.9,3,,6.2,2.9,-12.9,39.4,2.3,1017.4,1022.4,1017.1,1019.7,8.2,-0.8,X
90,2014-12-13,-3.3,-5.1,-0.8,,6.7,3.1,-19,28.9,1.4,1020.4,1024.6,1020.7,1022.7,8.9,-2.4,X
90,2014-12-14,-0.8,-6.2,2.5,,8,3.4,-13.9,37.4,2.2,1023.9,1027.8,1024.2,1026.2,8.6,-1.8,O
90,2014-12-15,2.2,-2.1,5.2,0.2,3.6,1.2,-3.8,66.8,4.8,1021.9,1029.4,1016.1,1024.2,1.4,-0.3,O
90,2014-12-16,-1.8,-7.6,4,0,8.7,3.8,-12.1,47.9,2.9,1010.9,1016.3,1010.9,1013.2,8.7,-0.9,X
90,2014-12-17,-7.5,-9.4,-4.9,,10.2,5.8,-22.8,28.4,1,1016.2,1023.6,1015,1018.6,8.9,-4.8,X
90,2014-12-18,-5.2,-10.8,0.7,,4.4,1.8,-21.2,27.9,1.2,1028.1,1033,1023.5,1030.5,8.9,-4.3,X
90,2014-12-19,1.8,-5,6.9,,2.8,1.4,-10.1,41.1,3,1023.7,1032.4,1018.2,1026,0,-1.2,X
90,2014-12-20,2.9,-2.7,7.6,,7.9,3.3,-9.5,42,3.5,1014.2,1021.8,1012.4,1016.5,7.8,1.1,X
90,2014-12-21,-3.1,-5.5,0.3,,7.6,3.4,-17.2,32.6,1.6,1017.4,1022.2,1016.8,1019.7,8.9,-2.4,X
90,2014-12-22,-1.1,-5.2,2.7,,8.7,3.5,-14.1,37.1,2.1,1017.3,1023.4,1016.5,1019.6,8.2,-1.7,X
90,2014-12-23,4.9,-1.4,7.6,,6.9,3,-6.8,42.6,3.8,1020.2,1025.2,1020.2,1022.5,5.4,0.4,X
90,2014-12-24,5.9,0.5,9.2,,5.4,3,-4.2,49.4,4.6,1016.5,1021.7,1015.5,1018.7,6.7,2.8,X
90,2014-12-25,0.7,-2.3,4.4,,6.7,2.6,-12.8,36.4,2.3,1021.8,1027.1,1021.7,1024.1,8.9,-0.4,X
90,2014-12-26,-0.5,-4.5,4.3,,2.7,1.5,-13.4,37.6,2.2,1026.4,1030,1026.7,1028.7,8.9,-1,X
90,2014-12-27,3.5,-1.5,8.1,,4.6,2,-11.1,33.8,2.7,1025.6,1030.8,1024.6,1027.8,8.2,0.4,X
90,2014-12-28,4.2,1.3,7.4,,5.3,1.9,-6.4,46.3,3.8,1016.9,1024.5,1015.3,1019.2,7.9,1,X
90,2014-12-29,5.1,1,7.8,,6.3,2.4,-4.6,49.6,4.3,1010.2,1015.3,1010.3,1012.4,7.1,1.3,X
90,2014-12-30,5.9,2.2,8.9,,9,4.8,-9.3,33.8,3.1,1011.1,1016.4,1010.5,1013.3,8.4,2.4,X
90,2014-12-31,1.7,-4.3,5.4,,7.9,3,-13.5,31.9,2.2,1012.1,1016.8,1011.8,1014.4,5.2,1.1,X
90,2015-01-01,-4.6,-7.9,-1.8,,6.1,2.2,-19,31.6,1.4,1016.4,1020.2,1016.2,1018.7,8.9,-2.8,X
90,2015-01-02,-2.9,-5.4,0.9,,11.5,3.4,-18,30.4,1.5,1018.3,1023,1017.2,1020.6,7.7,-1.8,X
90,2015-01-03,1.1,-7.2,6.9,,7.2,2.5,-14.1,32.5,2.2,1016.3,1022.6,1014.9,1018.6,8.9,-0.5,X
90,2015-01-04,5.8,1.9,10.4,,6.5,2.2,-3.7,50.8,4.7,1013.5,1018.9,1013.6,1015.7,8.7,2.8,X
90,2015-01-05,7.3,2.2,12.2,,7.6,2.4,-4.4,45.8,4.6,1012.3,1020.4,1007.6,1014.5,3.9,2.7,O
90,2015-01-06,3.4,-2.4,8.6,0,5.4,3,-10.3,38.6,3.3,1008.7,1015.3,1006.3,1010.9,8.5,3.6,X
90,2015-01-07,-2.2,-6.7,3.1,,4.4,2.2,-18.2,28.4,1.5,1017.1,1021.9,1015.1,1019.4,9.1,-0.6,X
90,2015-01-08,-0.5,-4.9,5.3,,3.3,1.5,-15.6,30.9,1.9,1019.6,1023.2,1020.7,1021.9,9,-0.3,X
90,2015-01-09,1.5,-2.7,6.3,,6.1,2.2,-15.7,27,1.8,1018.5,1022.7,1019.1,1020.8,9,0.4,X
90,2015-01-10,3.1,-0.5,6.4,,8.3,2.8,-11.1,35.1,2.7,1017.5,1021.5,1018.6,1019.7,9.1,1.4,O
90,2015-01-11,1.8,-1.3,4.6,0,8.1,3.7,-4.8,62.4,4.4,1019.2,1028.3,1015.7,1021.5,5.8,1.8,X
90,2015-01-12,-0.2,-4.7,4.9,,3.9,1.5,-12.3,40.5,2.4,1031.4,1035.3,1028.4,1033.7,9,0.6,X
90,2015-01-13,3.2,-3,8.3,,2.6,1.3,-11.3,33.8,2.6,1029.7,1034.2,1029.4,1031.9,8.7,0.3,X
90,2015-01-14,4.8,-0.4,8,,6,2.1,-6.4,46.9,4.1,1024.4,1029.4,1024.9,1026.7,0.2,1.6,O
90,2015-01-15,3.4,1.1,4.8,0.5,3.3,1.7,1.2,86.6,6.7,1020.7,1024.9,1022,1023,0,1.9,X
90,2015-01-16,2.9,0,7.2,,8.4,2.8,-3.7,63.6,4.7,1014,1022,1012.5,1016.2,6.4,2,X
90,2015-01-17,0.8,-3.4,5.3,,4.8,2.2,-14.9,32,2,1020.4,1024.6,1016.9,1022.7,9,1,X
90,2015-01-18,2.8,-0.3,6.1,,7.5,2.4,-10.7,38.1,3,1016,1023.9,1011.5,1018.2,4,1.2,O
90,2015-01-19,3.4,0.1,7,0,5.9,2.8,-7.2,46.6,3.6,1016.4,1024.6,1012.1,1018.7,8.6,3.2,X
90,2015-01-20,1.3,-2.8,5.9,,3.3,1.4,-6.6,56,3.8,1025.2,1029,1024.6,1027.5,7.9,1.3,X
90,2015-01-21,2.4,-1.3,5,,3.2,1.6,-1.6,75.3,5.5,1021.3,1028.2,1020.9,1023.6,2.2,2.6,O
90,2015-01-22,2.2,0.8,4.5,4,6.3,2.9,0.3,88.1,6.3,1018.6,1022,1019.5,1020.9,0,1,X
90,2015-01-23,2.8,-2.5,7.3,,4.1,1.8,-4.3,60.5,4.4,1018.2,1021.9,1018.7,1020.5,9.1,3.1,X
90,2015-01-24,5.1,1,9.3,,6.2,1.9,-5.6,46.1,4,1021.9,1027.8,1020,1024.2,9.1,2.9,O
90,2015-01-25,3.5,0.6,5.9,1.5,5.1,1.9,-0.7,75.6,5.9,1022.9,1027.9,1022.4,1025.2,0,2,O
90,2015-01-26,4.5,1.6,8.2,1,6.2,1.8,2.3,88.9,7.3,1016.2,1022.4,1015,1018.5,0,3.5,O
