L1cati1n,A/T(°C),MI/T(°C),MA/T(°C),D/P(mm),MA/W,A/W(m/s),A/PT(°C),A/RH(P),A/SP(hPa),A/LAP(hPa),MA/SLP(hPa),MI/SLP(hPa),A/SLP(hPa),TST(hr),A/GT(°C),T/RYN
90.00,29.60,22.90,34.60,0.00,5.60,2.70,14.70,41.30,16.90,995.10,999.60,994.80,997.10,12.80,30.00,0.00
90.00,27.60,25.30,30.10,0.00,5.10,2.10,17.60,54.80,20.20,999.40,1002.50,999.60,1001.40,1.20,26.20,0.00
90.00,26.70,23.00,29.80,0.00,5.30,1.90,19.20,64.60,22.30,998.70,1003.00,999.30,1000.70,8.90,29.80,0.00
90.00,28.40,25.00,33.40,0.00,5.80,2.20,17.10,51.40,19.50,1003.30,1007.60,1002.90,1005.40,12.80,31.10,0.00
90.00,25.90,21.80,29.90,0.00,4.90,1.60,19.00,66.30,22.00,1006.50,1010.00,1006.90,1008.50,10.00,28.70,0.00
90.00,26.70,23.60,29.90,0.00,4.90,2.30,20.40,68.90,24.00,1006.50,1009.60,1006.80,1008.50,11.60,33.30,0.00
90.00,26.70,22.80,29.90,0.00,5.00,2.10,20.50,69.50,24.10,1007.40,1010.40,1008.30,1009.40,11.50,33.00,1.00
90.00,27.50,24.00,33.70,0.00,5.10,1.80,21.10,68.90,25.00,1007.50,1010.70,1007.50,1009.50,7.10,32.70,0.00
90.00,27.20,24.10,29.20,0.00,3.90,1.60,22.90,78.30,27.90,1008.90,1012.20,1009.60,1011.00,8.50,34.00,0.00
90.00,26.20,22.80,29.00,0.00,5.10,2.10,23.00,83.50,28.20,1008.70,1013.20,1009.20,1010.80,11.40,33.70,0.00
90.00,27.60,22.50,31.70,0.00,5.40,1.90,21.80,72.90,26.30,1003.90,1009.30,1003.30,1005.90,11.90,34.60,1.00
90.00,28.10,24.90,31.40,3.00,6.50,2.60,20.40,65.00,24.20,1001.40,1004.90,1001.90,1003.40,0.10,28.00,1.00
90.00,27.80,25.30,30.80,0.10,6.30,2.00,21.30,68.90,25.40,1000.40,1003.20,1001.30,1002.40,0.80,26.60,1.00
90.00,27.00,23.60,31.30,0.10,3.50,1.50,19.10,62.30,22.10,1002.40,1006.70,1001.90,1004.50,7.80,29.20,1.00
90.00,22.00,19.60,26.00,45.50,5.10,1.30,21.30,96.10,25.30,1005.50,1010.50,1001.40,1007.60,0.00,23.10,1.00
90.00,26.10,20.30,32.10,8.00,7.30,3.90,20.20,72.40,23.80,1001.10,1010.90,995.60,1003.10,7.30,25.10,1.00
90.00,22.90,19.80,26.40,1.00,3.30,1.60,20.10,85.50,23.50,1008.90,1012.30,1009.80,1011.00,11.50,26.70,0.00
90.00,23.30,18.90,27.10,0.00,4.90,2.00,19.60,81.30,22.80,1007.40,1010.80,1008.50,1009.50,10.60,26.50,1.00
90.00,23.10,19.60,27.70,0.50,3.10,1.50,21.10,89.50,25.10,1007.80,1010.70,1008.20,1009.90,8.00,25.70,0.00
90.00,24.50,20.50,27.60,0.00,4.60,1.80,23.00,92.40,28.20,1008.50,1011.90,1009.30,1010.60,11.80,27.70,1.00
90.00,26.00,23.30,30.60,3.50,4.00,1.50,23.90,89.10,29.70,1007.40,1011.00,1008.20,1009.40,9.40,30.90,0.00
90.00,27.50,23.50,33.30,0.00,5.10,1.80,22.90,77.90,27.90,1006.50,1010.00,1007.10,1008.50,13.60,32.50,1.00
90.00,26.10,23.40,28.70,0.00,3.10,1.50,25.70,97.90,33.00,1004.20,1008.20,1004.50,1006.20,3.80,28.80,1.00
90.00,24.40,23.80,25.70,36.50,6.30,2.10,24.30,100.00,30.30,998.70,1005.00,998.10,1000.70,0.00,25.10,1.00
90.00,25.20,23.90,28.10,1.00,2.60,1.00,25.10,100.00,31.90,996.50,1000.20,997.70,998.50,2.20,27.90,0.00
90.00,26.70,24.50,29.40,0.00,3.60,1.50,25.50,94.40,32.80,1000.00,1003.30,999.70,1002.00,9.30,30.50,1.00
90.00,26.00,23.40,30.00,2.50,3.30,1.20,24.40,92.40,30.60,1002.30,1006.20,1001.90,1004.40,0.00,26.50,1.00
90.00,23.30,20.70,26.50,0.00,4.30,1.90,20.30,83.50,23.80,1005.20,1010.30,1005.10,1007.20,1.30,24.20,0.00
90.00,23.30,19.30,27.10,0.00,3.60,1.50,20.90,87.00,24.70,1009.60,1012.80,1009.60,1011.70,11.70,28.50,1.00
90.00,23.80,20.60,26.80,7.00,6.30,2.90,20.70,84.00,24.40,1008.00,1012.10,1007.30,1010.10,6.80,26.70,1.00
90.00,22.80,20.70,23.90,37.00,8.10,5.80,22.70,99.50,27.60,1000.40,1007.40,1000.00,1002.50,0.00,22.60,1.00
90.00,24.70,17.90,30.80,1.00,4.20,1.70,18.10,69.40,20.80,997.30,1002.40,997.50,999.40,12.70,26.30,0.00
90.00,26.80,22.60,32.30,0.00,5.20,2.10,18.10,60.30,20.90,1000.40,1005.40,999.80,1002.50,12.80,27.90,1.00
90.00,23.90,21.00,27.40,3.50,3.20,1.30,20.90,84.60,24.80,1006.10,1010.60,1005.20,1008.20,0.20,24.90,1.00
90.00,21.80,20.20,24.80,3.00,3.50,1.10,20.50,93.00,24.10,1007.80,1010.80,1008.80,1009.90,0.00,22.80,0.00
90.00,22.40,19.70,25.40,0.00,3.20,1.50,21.00,92.90,25.00,1007.70,1010.70,1008.80,1009.80,4.30,24.90,0.00
90.00,24.00,21.30,27.30,0.00,5.00,2.00,22.90,94.00,27.90,1008.80,1011.80,1009.90,1010.90,10.80,26.80,1.00
90.00,22.30,20.30,23.70,8.00,3.00,1.10,22.20,100.00,26.90,1011.80,1015.40,1011.30,1013.90,0.00,23.70,1.00
90.00,20.40,19.60,21.40,49.00,3.90,1.60,20.30,100.00,23.90,1010.30,1014.80,1010.80,1012.40,0.00,21.90,1.00
90.00,20.20,18.90,21.20,23.50,3.60,1.50,20.10,100.00,23.60,1009.70,1013.00,1010.30,1011.80,0.00,20.90,1.00
90.00,22.20,20.20,24.60,0.10,2.60,1.10,21.80,97.80,26.10,1009.80,1013.00,1010.70,1011.90,1.10,23.90,1.00
90.00,21.80,21.00,22.90,73.50,6.60,1.90,21.70,100.00,26.00,1005.60,1011.00,1004.90,1007.70,0.00,22.20,0.00
90.00,26.80,20.40,31.00,0.00,5.00,2.10,18.70,62.80,21.60,1005.30,1008.80,1006.10,1007.30,10.10,25.40,0.00
90.00,28.10,24.90,32.10,0.00,3.90,1.80,19.90,61.80,23.30,1005.50,1008.40,1006.20,1007.50,7.10,26.70,1.00
90.00,25.40,22.40,28.70,0.00,2.90,1.40,20.00,72.90,23.50,1006.40,1009.60,1007.10,1008.40,7.90,26.50,1.00
90.00,22.90,20.80,25.90,4.00,4.90,1.50,22.70,98.80,27.60,1007.90,1011.60,1008.60,1010.00,0.00,23.70,1.00
90.00,20.70,18.80,22.30,44.50,4.80,2.50,19.90,96.00,23.20,1011.80,1016.80,1010.80,1013.90,0.00,21.10,1.00
90.00,20.40,18.00,24.10,2.00,3.40,1.80,18.30,89.40,21.00,1015.80,1019.20,1016.20,1017.90,3.60,23.00,0.00
90.00,21.30,17.30,24.80,0.00,4.00,2.10,18.60,85.80,21.50,1015.60,1019.00,1016.30,1017.70,8.00,23.10,0.00
90.00,21.80,18.90,25.30,0.00,3.20,1.60,19.00,85.50,22.00,1015.50,1018.30,1016.80,1017.60,8.40,24.80,0.00
90.00,21.10,17.70,25.20,0.00,4.10,2.00,17.40,81.40,20.00,1014.10,1018.00,1014.60,1016.20,12.20,24.30,0.00
90.00,21.00,15.60,25.20,0.00,3.90,1.70,16.70,78.10,19.00,1012.40,1015.40,1013.60,1014.50,12.30,24.10,0.00
90.00,21.60,18.10,25.80,0.00,2.50,1.60,18.30,82.40,21.00,1013.70,1016.50,1015.10,1015.80,11.20,25.20,1.00
90.00,21.80,18.10,24.70,1.50,4.50,2.00,19.00,85.00,22.10,1012.00,1016.50,1010.60,1014.10,1.30,23.40,1.00
90.00,19.70,18.20,22.20,138.00,5.70,2.70,19.60,100.00,22.80,1003.00,1010.50,1002.70,1005.10,0.00,20.10,1.00
90.00,24.30,19.20,29.00,2.00,4.20,1.80,17.50,68.60,20.00,1003.50,1007.80,1004.10,1005.60,12.30,23.90,0.00
90.00,25.60,19.60,31.00,0.00,4.10,1.80,16.20,57.10,18.50,1008.10,1011.70,1007.70,1010.20,11.60,24.30,0.00
90.00,23.30,20.50,26.40,0.00,2.80,1.30,20.80,86.80,24.60,1010.00,1013.90,1010.90,1012.10,4.50,24.60,0.00
90.00,22.50,19.70,25.60,0.00,2.90,1.50,21.20,93.40,25.20,1007.60,1011.70,1008.20,1009.70,2.70,23.80,0.00
90.00,22.60,18.30,26.10,0.00,4.00,1.90,20.50,89.10,24.20,1004.10,1008.30,1003.90,1006.20,11.30,24.60,0.00
90.00,22.30,18.20,25.20,0.00,4.80,1.90,17.60,76.00,20.10,1005.90,1009.40,1005.60,1008.00,9.60,24.10,1.00
90.00,21.20,17.80,25.40,0.00,3.90,1.70,19.00,88.40,21.90,1009.00,1013.60,1009.10,1011.10,8.20,23.60,0.00
90.00,21.10,17.70,25.60,0.00,3.50,1.80,18.50,86.30,21.30,1011.80,1015.00,1013.00,1013.90,9.50,23.70,1.00
90.00,21.20,17.70,24.70,2.00,3.00,1.70,18.30,85.00,21.00,1012.80,1016.00,1014.00,1014.90,6.70,23.70,1.00
90.00,20.80,17.30,25.00,7.00,2.80,1.50,17.10,81.00,19.60,1015.00,1017.90,1015.60,1017.10,11.90,23.00,0.00
90.00,20.60,15.10,24.50,0.00,5.00,2.10,16.50,77.90,18.80,1013.70,1017.80,1013.80,1015.80,9.90,22.20,1.00
90.00,21.20,18.10,27.20,1.50,4.50,1.60,18.30,85.50,21.00,1010.60,1013.90,1011.60,1012.70,3.70,22.00,0.00
90.00,19.50,16.50,23.00,0.00,5.10,2.00,15.50,79.30,17.60,1013.90,1017.40,1013.90,1016.00,7.70,20.40,1.00
90.00,18.80,15.60,23.30,6.00,5.50,2.10,16.40,86.90,18.70,1015.40,1019.20,1016.00,1017.60,1.00,20.20,0.00
90.00,18.90,14.90,23.80,0.00,3.20,1.90,14.40,76.50,16.40,1015.70,1019.70,1016.10,1017.90,11.80,20.30,0.00
90.00,20.20,14.50,24.10,0.00,3.60,1.60,14.70,72.90,17.00,1012.30,1016.30,1012.90,1014.40,11.00,20.30,1.00
90.00,20.00,15.10,24.60,0.00,3.30,1.70,16.40,81.10,18.70,1012.60,1016.20,1013.20,1014.70,11.10,21.90,1.00
90.00,19.00,15.40,22.80,4.50,3.00,1.60,16.40,85.60,18.80,1015.40,1018.90,1015.30,1017.50,1.90,19.20,0.00
90.00,19.50,16.00,23.40,0.00,3.90,1.90,16.80,85.80,19.10,1018.20,1021.40,1018.60,1020.30,9.60,20.80,0.00
90.00,20.30,15.70,24.10,0.00,4.50,2.10,17.30,83.60,19.70,1016.30,1021.10,1015.30,1018.40,8.60,21.50,1.00
90.00,18.10,16.40,19.60,8.00,3.80,1.30,17.50,97.30,20.10,1009.30,1015.30,1009.50,1011.40,0.00,18.60,1.00
90.00,18.30,15.80,20.80,2.50,3.00,1.50,17.30,95.00,19.80,1012.90,1017.70,1010.80,1015.00,0.00,18.20,0.00
90.00,19.10,15.90,22.30,0.00,4.70,1.90,15.00,78.60,17.10,1016.00,1020.20,1016.90,1018.10,3.40,19.40,0.00
90.00,20.40,14.20,25.50,0.00,5.60,1.60,15.90,77.10,18.00,1013.20,1017.20,1014.00,1015.30,9.20,19.40,1.00
90.00,20.90,18.20,23.80,0.00,3.80,1.60,17.50,81.80,20.00,1014.10,1017.30,1015.00,1016.20,4.60,20.40,1.00
90.00,20.00,18.20,23.60,1.50,4.50,1.40,17.90,88.90,20.70,1010.30,1015.20,1010.10,1012.40,0.50,19.80,1.00
90.00,14.50,12.70,21.30,6.50,9.10,2.80,13.50,94.30,15.50,1018.80,1023.60,1012.00,1021.00,0.00,15.80,0.00
90.00,16.60,13.60,19.90,0.00,4.90,2.00,14.70,89.30,16.70,1015.90,1021.50,1015.00,1018.10,3.30,17.00,1.00
90.00,18.10,13.70,22.90,0.50,4.20,1.30,15.70,87.10,18.00,1006.50,1015.00,1005.30,1008.60,1.60,18.20,1.00
90.00,18.50,15.20,22.30,0.50,5.80,2.80,12.30,68.50,14.40,1008.90,1017.90,1004.70,1011.00,7.20,16.70,1.00
90.00,15.50,13.10,17.80,5.50,4.90,2.20,11.40,79.10,13.70,1020.40,1025.00,1017.60,1022.60,0.00,14.90,0.00
90.00,15.40,11.20,20.10,0.00,3.60,2.10,8.90,66.60,11.40,1019.00,1024.70,1018.50,1021.20,6.40,14.30,0.00
90.00,14.70,11.10,19.20,0.00,6.40,2.40,9.40,72.30,11.80,1017.10,1021.60,1017.00,1019.20,8.20,14.30,0.00
90.00,16.10,9.40,21.20,0.00,5.50,2.40,9.90,68.00,12.40,1018.90,1022.70,1019.40,1021.00,10.90,14.90,0.00
90.00,16.90,12.50,22.20,0.00,2.80,1.50,8.90,60.90,11.50,1019.80,1023.00,1020.80,1022.00,10.80,16.40,0.00
90.00,17.60,10.90,22.30,0.00,4.30,1.80,11.90,70.80,14.10,1017.40,1021.90,1017.10,1019.50,10.60,17.30,1.00
90.00,17.60,14.40,19.80,0.00,6.80,2.80,13.10,75.40,15.10,1023.40,1027.80,1018.00,1025.60,0.10,15.90,0.00
90.00,16.50,13.20,20.50,0.00,3.40,1.70,12.60,79.00,14.60,1024.80,1027.70,1026.00,1027.00,5.30,17.40,0.00
90.00,16.90,11.40,21.00,0.00,5.00,2.00,14.60,87.60,16.60,1018.90,1026.00,1017.90,1021.10,10.40,17.80,1.00
90.00,14.90,11.20,19.80,2.00,10.10,5.50,10.30,74.50,12.80,1015.70,1019.70,1016.50,1017.80,0.00,14.30,0.00
90.00,12.40,7.80,17.00,0.00,3.30,1.90,5.90,66.00,9.30,1015.60,1018.80,1016.80,1017.80,8.10,15.00,0.00
90.00,14.40,7.90,19.30,0.00,4.20,1.80,6.00,58.50,9.40,1014.20,1018.60,1014.50,1016.30,10.60,14.10,1.00
90.00,15.20,11.30,19.50,0.50,5.90,2.70,2.60,44.80,7.70,1013.70,1020.20,1013.50,1015.90,8.50,13.60,0.00
90.00,15.70,8.50,21.20,0.00,5.60,2.10,0.20,34.50,6.00,1018.60,1022.80,1018.90,1020.70,10.50,13.70,0.00
90.00,17.00,11.90,22.60,0.00,4.80,1.70,8.00,56.50,10.80,1019.90,1023.20,1020.40,1022.10,9.90,15.50,0.00
90.00,17.60,12.20,21.70,0.00,3.90,1.30,9.50,60.30,12.00,1018.80,1023.40,1018.10,1020.90,7.60,15.70,1.00
90.00,16.00,13.10,20.00,9.50,4.40,1.70,13.50,88.00,15.80,1014.80,1019.70,1014.10,1017.00,3.00,16.50,1.00
90.00,13.60,11.00,17.20,21.00,6.50,3.50,12.20,92.00,14.40,1018.90,1022.90,1017.90,1021.10,0.00,13.10,1.00
90.00,11.30,6.80,13.20,0.10,4.90,1.80,6.50,74.00,9.70,1020.60,1024.10,1021.00,1022.80,0.00,10.90,0.00
90.00,13.00,6.60,17.80,0.00,4.80,1.90,7.80,71.80,10.60,1017.60,1022.90,1017.50,1019.70,10.20,11.40,0.00
90.00,17.80,11.60,22.20,0.00,4.30,1.70,9.70,60.30,12.10,1015.10,1018.70,1015.50,1017.20,9.70,14.00,0.00
90.00,19.90,14.90,24.20,0.00,3.90,1.90,9.20,51.90,11.80,1014.50,1018.20,1015.30,1016.60,10.10,15.30,1.00
90.00,20.30,14.90,24.60,0.00,11.60,3.90,5.60,40.40,9.40,1012.50,1018.20,1011.80,1014.60,9.80,15.50,0.00
90.00,12.20,8.60,15.60,0.00,7.20,2.20,0.70,46.60,6.60,1020.20,1024.10,1018.20,1022.40,9.90,12.50,0.00
90.00,12.30,8.10,17.40,0.00,3.10,1.90,4.00,58.10,8.40,1023.20,1027.10,1023.90,1025.40,10.10,11.90,0.00
90.00,13.30,7.80,18.50,0.00,3.10,1.50,3.70,53.60,8.20,1023.20,1026.60,1024.70,1025.40,10.10,12.20,0.00
90.00,15.00,10.10,19.10,0.00,2.60,1.50,6.90,59.40,10.20,1021.70,1025.60,1022.30,1023.80,8.40,13.40,1.00
90.00,16.00,12.80,18.60,0.00,4.80,1.70,12.50,80.30,14.60,1017.40,1022.40,1016.90,1019.50,1.30,15.10,1.00
90.00,15.50,13.40,18.70,0.40,2.60,1.20,14.20,92.80,16.30,1010.70,1016.90,1008.80,1012.80,0.20,15.10,1.00
90.00,14.10,9.20,18.70,0.00,8.60,4.10,1.00,43.00,7.30,1005.40,1013.00,1003.90,1007.60,7.30,13.50,0.00
90.00,10.50,5.70,14.70,0.00,8.70,3.10,6.40,30.10,3.80,1013.10,1018.00,1012.90,1015.30,9.90,10.30,0.00
90.00,13.20,7.60,18.70,0.00,4.70,1.90,1.90,46.90,7.10,1017.80,1021.80,1018.00,1020.00,10.00,11.80,0.00
90.00,14.30,7.80,18.70,0.00,4.10,1.60,3.40,48.30,7.90,1016.60,1020.80,1016.70,1018.80,9.90,12.90,1.00
90.00,14.80,11.90,19.50,4.00,7.70,2.50,7.60,63.00,10.50,1017.70,1024.10,1017.60,1019.80,4.50,13.80,1.00
90.00,9.00,8.00,11.90,9.50,4.20,1.70,8.90,100.00,11.40,1024.70,1028.10,1024.10,1026.90,0.00,10.20,0.00
90.00,11.20,8.40,13.60,0.00,2.30,1.40,10.00,93.50,12.30,1022.70,1027.40,1022.60,1024.90,0.00,10.70,0.00
90.00,12.40,8.10,16.50,0.00,4.50,1.70,3.40,59.10,8.40,1019.30,1022.70,1020.00,1021.50,9.00,11.60,0.00
90.00,10.90,6.90,16.00,0.00,2.70,1.60,0.70,46.50,6.00,1019.00,1023.60,1018.90,1021.20,9.60,9.20,0.00
90.00,12.70,6.50,18.10,0.00,5.10,2.00,0.70,40.40,5.80,1011.50,1019.00,1009.10,1013.70,9.40,8.90,1.00
90.00,8.40,0.60,13.80,0.00,8.20,4.60,4.90,40.30,4.70,1006.20,1016.10,1003.90,1008.40,8.00,8.90,0.00
90.00,2.10,1.90,5.10,0.00,8.90,4.20,16.20,24.60,1.80,1016.30,1020.60,1016.10,1018.60,9.30,3.70,0.00
90.00,6.80,2.30,10.50,0.00,8.30,4.10,9.20,31.50,3.20,1019.10,1024.10,1019.60,1021.30,9.50,5.80,0.00
90.00,6.70,3.40,10.90,0.00,3.30,1.80,6.60,39.30,3.80,1024.70,1028.50,1024.10,1027.00,9.60,6.20,0.00
90.00,7.40,4.00,11.80,0.00,2.80,1.50,4.80,42.50,4.40,1022.10,1027.50,1022.20,1024.30,6.40,7.10,0.00
90.00,8.20,5.30,11.40,0.00,6.20,2.30,0.60,54.60,5.90,1020.30,1024.60,1021.30,1022.60,8.90,7.80,0.00
90.00,7.40,4.00,12.00,0.00,3.30,1.60,2.60,49.90,5.10,1023.80,1027.20,1024.60,1026.00,9.30,6.90,0.00
90.00,8.00,3.70,12.90,0.00,2.90,1.70,4.20,42.80,4.60,1023.90,1027.90,1024.70,1026.20,9.30,6.50,0.00
90.00,10.00,5.30,14.70,0.00,3.90,1.80,1.50,45.30,5.50,1021.10,1025.10,1022.00,1023.30,9.20,7.50,0.00
90.00,13.10,6.80,18.30,0.00,4.40,1.50,3.90,54.60,8.10,1018.90,1022.40,1019.20,1021.10,7.20,11.00,0.00
90.00,12.50,9.40,15.30,0.00,5.30,1.80,7.20,70.90,10.20,1020.80,1025.60,1021.10,1023.00,0.00,10.70,0.00
90.00,10.00,6.70,13.90,0.00,3.70,1.60,4.60,70.60,8.60,1023.30,1028.00,1023.10,1025.50,5.70,8.60,1.00
90.00,10.40,6.90,14.80,1.00,4.70,1.70,3.70,65.90,8.10,1018.90,1023.20,1019.90,1021.10,0.60,8.90,1.00
90.00,9.20,6.60,11.60,9.00,6.20,3.70,5.60,80.00,9.20,1019.10,1023.10,1020.00,1021.30,0.00,8.00,1.00
90.00,8.20,4.90,11.80,0.10,3.20,1.60,4.90,80.40,8.70,1017.70,1021.60,1018.80,1019.90,1.60,7.70,0.00
90.00,10.10,4.10,15.40,0.00,3.30,1.50,5.10,72.60,8.80,1020.10,1023.50,1020.70,1022.30,8.60,7.00,1.00
90.00,9.40,6.70,11.10,25.00,3.60,1.90,7.40,88.90,10.40,1014.70,1021.50,1013.50,1016.90,0.00,7.60,1.00
90.00,9.90,8.20,11.50,0.10,2.60,1.30,9.10,95.40,11.50,1018.60,1022.70,1015.60,1020.80,0.00,9.40,1.00
90.00,9.90,7.30,11.50,2.50,4.60,1.50,9.70,99.40,12.10,1010.70,1021.10,1005.20,1012.90,0.40,8.90,1.00
90.00,1.90,5.40,11.70,0.00,11.30,5.20,10.70,39.30,3.10,1005.30,1014.00,1001.60,1007.60,8.60,2.70,0.00
90.00,3.70,6.60,0.40,0.00,9.90,5.80,20.70,26.50,1.20,1013.50,1017.20,1013.80,1015.80,8.90,2.50,0.00
90.00,0.30,3.20,3.30,0.00,9.70,5.00,12.80,37.10,2.30,1012.70,1017.40,1012.50,1015.00,8.20,0.90,0.00
90.00,1.30,3.90,2.20,0.00,6.30,3.00,17.00,29.50,1.60,1014.80,1019.10,1014.60,1017.10,9.00,0.80,0.00
90.00,3.00,7.90,1.70,0.00,5.10,2.20,17.80,31.30,1.50,1014.10,1017.50,1014.70,1016.40,9.00,2.00,0.00
90.00,2.00,4.80,1.30,0.00,6.60,2.70,15.70,34.60,1.80,1017.30,1024.40,1016.40,1019.60,8.70,2.00,0.00
90.00,0.30,5.50,3.70,0.00,4.60,1.80,14.40,34.40,2.00,1022.70,1026.20,1024.00,1025.00,1.20,1.00,0.00
90.00,2.50,0.60,6.40,0.00,5.40,2.20,12.30,33.10,2.40,1025.20,1031.30,1024.70,1027.50,8.40,0.40,0.00
90.00,1.90,2.50,7.30,0.00,3.50,1.90,9.90,41.60,3.00,1031.10,1035.30,1031.20,1033.40,8.90,0.20,0.00
90.00,5.70,0.60,8.80,0.00,5.90,2.30,5.80,44.10,4.10,1019.90,1032.10,1016.60,1022.20,0.00,0.50,0.00
90.00,2.80,1.30,6.40,0.00,7.10,3.00,9.80,39.80,3.00,1017.10,1022.40,1015.70,1019.40,7.90,1.40,0.00
90.00,0.50,2.90,3.00,0.00,6.20,2.90,12.90,39.40,2.30,1017.40,1022.40,1017.10,1019.70,8.20,0.80,0.00
90.00,3.30,5.10,0.80,0.00,6.70,3.10,19.00,28.90,1.40,1020.40,1024.60,1020.70,1022.70,8.90,2.40,0.00
90.00,0.80,6.20,2.50,0.00,8.00,3.40,13.90,37.40,2.20,1023.90,1027.80,1024.20,1026.20,8.60,1.80,1.00
90.00,2.20,2.10,5.20,0.20,3.60,1.20,3.80,66.80,4.80,1021.90,1029.40,1016.10,1024.20,1.40,0.30,1.00
90.00,1.80,7.60,4.00,0.00,8.70,3.80,12.10,47.90,2.90,1010.90,1016.30,1010.90,1013.20,8.70,0.90,0.00
90.00,7.50,9.40,4.90,0.00,10.20,5.80,22.80,28.40,1.00,1016.20,1023.60,1015.00,1018.60,8.90,4.80,0.00
90.00,5.20,10.80,0.70,0.00,4.40,1.80,21.20,27.90,1.20,1028.10,1033.00,1023.50,1030.50,8.90,4.30,0.00
90.00,1.80,5.00,6.90,0.00,2.80,1.40,10.10,41.10,3.00,1023.70,1032.40,1018.20,1026.00,0.00,1.20,0.00
90.00,2.90,2.70,7.60,0.00,7.90,3.30,9.50,42.00,3.50,1014.20,1021.80,1012.40,1016.50,7.80,1.10,0.00
90.00,3.10,5.50,0.30,0.00,7.60,3.40,17.20,32.60,1.60,1017.40,1022.20,1016.80,1019.70,8.90,2.40,0.00
90.00,1.10,5.20,2.70,0.00,8.70,3.50,14.10,37.10,2.10,1017.30,1023.40,1016.50,1019.60,8.20,1.70,0.00
90.00,4.90,1.40,7.60,0.00,6.90,3.00,6.80,42.60,3.80,1020.20,1025.20,1020.20,1022.50,5.40,0.40,0.00
90.00,5.90,0.50,9.20,0.00,5.40,3.00,4.20,49.40,4.60,1016.50,1021.70,1015.50,1018.70,6.70,2.80,0.00
90.00,0.70,2.30,4.40,0.00,6.70,2.60,12.80,36.40,2.30,1021.80,1027.10,1021.70,1024.10,8.90,0.40,0.00
90.00,0.50,4.50,4.30,0.00,2.70,1.50,13.40,37.60,2.20,1026.40,1030.00,1026.70,1028.70,8.90,1.00,0.00
90.00,3.50,1.50,8.10,0.00,4.60,2.00,11.10,33.80,2.70,1025.60,1030.80,1024.60,1027.80,8.20,0.40,0.00
90.00,4.20,1.30,7.40,0.00,5.30,1.90,6.40,46.30,3.80,1016.90,1024.50,1015.30,1019.20,7.90,1.00,0.00
90.00,5.10,1.00,7.80,0.00,6.30,2.40,4.60,49.60,4.30,1010.20,1015.30,1010.30,1012.40,7.10,1.30,0.00
90.00,5.90,2.20,8.90,0.00,9.00,4.80,9.30,33.80,3.10,1011.10,1016.40,1010.50,1013.30,8.40,2.40,0.00
90.00,1.70,4.30,5.40,0.00,7.90,3.00,13.50,31.90,2.20,1012.10,1016.80,1011.80,1014.40,5.20,1.10,0.00
90.00,4.60,7.90,1.80,0.00,6.10,2.20,19.00,31.60,1.40,1016.40,1020.20,1016.20,1018.70,8.90,2.80,0.00
90.00,2.90,5.40,0.90,0.00,11.50,3.40,18.00,30.40,1.50,1018.30,1023.00,1017.20,1020.60,7.70,1.80,0.00
90.00,1.10,7.20,6.90,0.00,7.20,2.50,14.10,32.50,2.20,1016.30,1022.60,1014.90,1018.60,8.90,0.50,0.00
90.00,5.80,1.90,10.40,0.00,6.50,2.20,3.70,50.80,4.70,1013.50,1018.90,1013.60,1015.70,8.70,2.80,0.00
90.00,7.30,2.20,12.20,0.00,7.60,2.40,4.40,45.80,4.60,1012.30,1020.40,1007.60,1014.50,3.90,2.70,1.00
90.00,3.40,2.40,8.60,0.00,5.40,3.00,10.30,38.60,3.30,1008.70,1015.30,1006.30,1010.90,8.50,3.60,0.00
90.00,2.20,6.70,3.10,0.00,4.40,2.20,18.20,28.40,1.50,1017.10,1021.90,1015.10,1019.40,9.10,0.60,0.00
90.00,0.50,4.90,5.30,0.00,3.30,1.50,15.60,30.90,1.90,1019.60,1023.20,1020.70,1021.90,9.00,0.30,0.00
90.00,1.50,2.70,6.30,0.00,6.10,2.20,15.70,27.00,1.80,1018.50,1022.70,1019.10,1020.80,9.00,0.40,0.00
90.00,3.10,0.50,6.40,0.00,8.30,2.80,11.10,35.10,2.70,1017.50,1021.50,1018.60,1019.70,9.10,1.40,1.00
90.00,1.80,1.30,4.60,0.00,8.10,3.70,4.80,62.40,4.40,1019.20,1028.30,1015.70,1021.50,5.80,1.80,0.00
90.00,0.20,4.70,4.90,0.00,3.90,1.50,12.30,40.50,2.40,1031.40,1035.30,1028.40,1033.70,9.00,0.60,0.00
90.00,3.20,3.00,8.30,0.00,2.60,1.30,11.30,33.80,2.60,1029.70,1034.20,1029.40,1031.90,8.70,0.30,0.00
90.00,4.80,0.40,8.00,0.00,6.00,2.10,6.40,46.90,4.10,1024.40,1029.40,1024.90,1026.70,0.20,1.60,1.00
90.00,3.40,1.10,4.80,0.50,3.30,1.70,1.20,86.60,6.70,1020.70,1024.90,1022.00,1023.00,0.00,1.90,0.00
90.00,2.90,0.00,7.20,0.00,8.40,2.80,3.70,63.60,4.70,1014.00,1022.00,1012.50,1016.20,6.40,2.00,0.00
90.00,0.80,3.40,5.30,0.00,4.80,2.20,14.90,32.00,2.00,1020.40,1024.60,1016.90,1022.70,9.00,1.00,0.00
90.00,2.80,0.30,6.10,0.00,7.50,2.40,10.70,38.10,3.00,1016.00,1023.90,1011.50,1018.20,4.00,1.20,1.00
