지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr),다음날
90,2014-11-17,8.2,5.3,2400,11.4,1056,,,,,,,9.7,270,1203,6.2,270,1218,2.3,2015,270,-0.6,44,1445,54.6,5.9,1020.3,1024.6,2334,1021.3,400,1022.6,10.1,8.9,,,,,,,,,4.1,3.5,7.8,-0.9,,,,,,,,,,,,,,,X
90,2014-11-18,7.4,4,2130,12,1118,,,,,,,6.6,250,37,3.3,270,112,1.6,1388,270,-2.6,29,1104,49.9,5.1,1023.8,1027.2,2142,1024.6,1,1026,10,9.3,,,,,,,,,0,0,6.9,-3,,,,,,,,,,,,,,,X
90,2014-11-19,8,3.7,632,12.9,1341,,,,,,,4.3,140,1332,2.9,140,1438,1.7,1497,270,-4.2,30,1017,42.8,4.6,1023.9,1027.9,852,1024.7,1442,1026.2,10,9.3,,,,,,,,,1.8,0,6.5,-1.2,,,,,,,,,,,,,,,X
90,2014-11-20,10,5.3,715,14.7,1313,,,,,,,7.8,270,414,3.9,270,309,1.8,1530,140,-1.5,33,1304,45.3,5.5,1021.1,1025.1,7,1022,1346,1023.3,10,9.2,,,,,,,,,1.6,0,7.5,0.8,,,,,,,,,,,,,,,X
90,2014-11-21,13.1,6.8,104,18.3,1302,,,,,,,7.8,250,1122,4.4,270,1126,1.5,1315,250,3.9,39,1320,54.6,8.1,1018.9,1022.4,3,1019.2,1502,1021.1,10,7.2,,,,,,,,,5.8,2.3,11,4.2,,,,,,,,,,,,,,,X
90,2014-11-22,12.5,9.4,2350,15.3,1319,,,,,,,7.3,340,1529,5.3,340,1348,1.8,1596,290,7.2,55,133,70.9,10.2,1020.8,1025.6,2352,1021.1,1303,1023,9.9,0,,,,,,,,,7.3,4.4,10.7,5.9,,,,,,,,,,,,,{연무}1420-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-2310.,,X
90,2014-11-23,10,6.7,717,13.9,1414,,,,,,,5.1,340,1536,3.7,340,1544,1.6,1359,270,4.6,47,1123,70.6,8.6,1023.3,1028,832,1023.1,2143,1025.5,9.9,5.7,,,,,,,,,6.8,3.4,8.6,3.1,,,,,,,,,,,,,{연무}0950-{연무}{강도0}1200-1250.,,O
90,2014-11-24,10.4,6.9,412,14.8,1126,1.33,,,,,1,6.6,340,1351,4.7,340,1352,1.7,1507,270,3.7,37,1000,65.9,8.1,1018.9,1023.2,1,1019.9,1428,1021.1,9.9,0.6,,,,,,,,,9.3,6.6,8.9,3.9,,,,,,,,,,,,,{비}2240-{비}{강도0}2400-,,O
90,2014-11-25,9.2,6.6,1844,11.6,241,12.75,,,,,9,10.4,20,926,6.2,50,935,3.7,3215,70,5.6,59,730,80,9.2,1019.1,1023.1,959,1020,1,1021.3,9.9,0,,,,,,,,,10,6.8,8,5.2,,,,,,,,,,,,,-{비}-{비}{강도0}0300-0455. {비}0810-{비}{강도0}0900-1110. {비}1530-{비}{강도0}1800-2020.,,O
90,2014-11-26,8.2,4.9,2306,11.8,1409,0.5,,,,,0.1,4.6,270,24,3.2,270,28,1.6,1385,270,4.9,63,1410,80.4,8.7,1017.7,1021.6,2044,1018.8,543,1019.9,9.8,1.6,,,,,,,,,5.5,4.1,7.7,1.2,,,,,,,,,,,,,{비}0120-0150.,,X
90,2014-11-27,10.1,4.1,136,15.4,1053,,,,,,,4.6,20,1112,3.3,20,1116,1.5,1271,250,5.1,49,1039,72.6,8.8,1020.1,1023.5,855,1020.7,5,1022.3,9.8,8.6,,,,,,,,,2.1,0,7,0.3,,,,,,,,,,,,,,,O
90,2014-11-28,9.4,6.7,451,11.1,825,13.25,,,,,25,6.4,340,1914,3.6,340,1918,1.9,1621,290,7.4,64,643,88.9,10.4,1014.7,1021.5,1,1013.5,1632,1016.9,9.8,0,,,,,,,,,8.8,5.9,7.6,2.3,,,,,,,,,,,,,{비}0905-0910. {비}1050-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400- {박무}1430-{박무}{강도0}1500-1740.,,O
90,2014-11-29,9.9,8.2,2400,11.5,1436,1.83,,,,,0.1,6.2,270,549,2.6,290,13,1.3,1122,270,9.1,84,1454,95.4,11.5,1018.6,1022.7,1012,1015.6,1,1020.8,9.8,0,,,,,,,,,9.3,7.8,9.4,5.5,,,,,,,,,,,,,-{비}-0150.,,O
90,2014-11-30,9.9,7.3,327,11.5,1159,7.5,,,,,2.5,7.1,340,1305,4.6,340,1309,1.5,1302,270,9.7,93,608,99.4,12.1,1010.7,1021.1,9,1005.2,2349,1012.9,9.7,0.4,,,,,,,,,9.4,5.6,8.9,4,,,,,,,,,,,,,{비}0820-{비}{강도0}0900-1050. {비}1150-{비}{강도0}1200-1310. {비}1355-{비}{강도0}1500-1535. {비}1910-{비}{강도0}2100-2110.,,O
90,2014-12-01,1.9,-5.4,2400,11.7,105,1.33,,,,,0,20.1,290,1353,11.3,270,1446,5.2,4534,270,-10.7,24,1504,39.3,3.1,1005.3,1014,2356,1001.6,425,1007.6,9.7,8.6,,,,,,,,,3.4,3.4,2.7,-6,,,,,,,,,,,,,{눈}1030-1150.,,X
90,2014-12-02,-3.7,-6.6,704,-0.4,1346,,,,,,,17.6,270,739,9.9,270,1049,5.8,4999,270,-20.7,16,1454,26.5,1.2,1013.5,1017.2,932,1013.8,3,1015.8,9.7,8.9,,,,,,,,,0.3,0.3,-2.5,-7,,,,,,,,,,,,,{황사}0650-{황사}{강도0}0900-1030.,,X
90,2014-12-03,0.3,-3.2,45,3.3,1431,,,,,,,19.6,29,1708,9.7,290,2009,5,4308,270,-12.8,28,739,37.1,2.3,1012.7,1017.4,2202,1012.5,1425,1015,9.7,8.2,,,,,,,,,1.6,1.6,-0.9,-4.1,,,,,,,,,,,,,,,X
90,2014-12-04,-1.3,-3.9,2352,2.2,1508,,,,,,,11,290,1604,6.3,320,1604,3,2613,,-17,21,613,29.5,1.6,1014.8,1019.1,910,1014.6,1606,1017.1,9.7,9,,,,,,,,,0.8,0.8,-0.8,-6.1,,,,,,,,,,,,,,,X
90,2014-12-05,-3,-7.9,638,1.7,1328,,,,,,,9.8,340,1659,5.1,290,1156,2.2,1924,270,-17.8,23,1309,31.3,1.5,1014.1,1017.5,906,1014.7,1429,1016.4,9.6,9,,,,,,,,,0,0,-2,-11.1,,,,,,,,,,,,,,,X
90,2014-12-06,-2,-4.8,317,1.3,1210,,,,,,,12.6,320,1254,6.6,290,408,2.7,2309,290,-15.7,23,1208,34.6,1.8,1017.3,1024.4,2322,1016.4,45,1019.6,9.6,8.7,,,,,,,,,0,0,-2,-8.1,,,,,,,,,,,,,,,X
90,2014-12-07,-0.3,-5.5,402,3.7,1455,,,,,,,6.9,290,1459,4.6,290,611,1.8,1598,290,-14.4,21,1516,34.4,2,1022.7,1026.2,953,1024,1342,1025,9.6,1.2,,,,,,,,,6.3,,-1,-9,,,,,,,,,,,,,,,X
90,2014-12-08,2.5,-0.6,2045,6.4,1134,,,,,,,8.6,290,1359,5.4,290,1125,2.2,1906,290,-12.3,24,1356,33.1,2.4,1025.2,1031.3,2256,1024.7,58,1027.5,9.6,8.4,,,,,,,,,2.1,1,0.4,-6.5,,,,,,,,,,,,,,,X
90,2014-12-09,1.9,-2.5,725,7.3,1432,,,,,,,5.4,290,619,3.5,290,622,1.9,1605,290,-9.9,26,954,41.6,3,1031.1,1035.3,1034,1031.2,111,1033.4,9.6,8.9,,,,,,,,,0.8,0,0.2,-5.7,,,,,,,,,,,,,,,X
90,2014-12-10,5.7,-0.6,201,8.8,1328,,,,,,,11.9,290,1915,5.9,290,2024,2.3,2016,290,-5.8,27,415,44.1,4.1,1019.9,1032.1,1,1016.6,2351,1022.2,9.6,0,,,,,,,,,9.4,,0.5,-2.7,,,,,,,,,,,,,,,X
90,2014-12-11,2.8,-1.3,1914,6.4,54,,,,,,,11.9,290,200,7.1,290,207,3,2549,290,-9.8,28,1107,39.8,3,1017.1,1022.4,2048,1015.7,106,1019.4,9.6,7.9,,,,,,,,,4.1,,1.4,-6,,,,,,,,,,,,,,,X
90,2014-12-12,-0.5,-2.9,2348,3,1355,,,,,,,10.8,290,1506,6.2,290,1205,2.9,2478,290,-12.9,24,1305,39.4,2.3,1017.4,1022.4,6,1017.1,1425,1019.7,9.6,8.2,,,,,,,,,1.1,1.1,-0.8,-6.7,,,,,,,,,,,,,,,X
90,2014-12-13,-3.3,-5.1,706,-0.8,1255,,,,,,,11.7,290,1352,6.7,290,1027,3.1,2664,290,-19,21,1333,28.9,1.4,1020.4,1024.6,2324,1020.7,1,1022.7,9.6,8.9,,,,,,,,,0.1,0.1,-2.4,-9.3,,,,,,,,,,,,,,,X
90,2014-12-14,-0.8,-6.2,339,2.5,1457,,,,,,,12,290,819,8,290,814,3.4,2896,290,-13.9,22,527,37.4,2.2,1023.9,1027.8,2345,1024.2,24,1026.2,9.5,8.6,,,,,,,,,0.3,0.3,-1.8,-10.7,,,,,,,,,,,,,,,O
90,2014-12-15,2.2,-2.1,727,5.2,1341,5.92,,,,,0.2,7.1,360,149,3.6,340,155,1.2,1038,290,-3.8,42,4,66.8,4.8,1021.9,1029.4,931,1016.1,2348,1024.2,9.5,1.4,,,,,,,,,7.3,,-0.3,-5.3,,,,,,,,,,,,,{연무}0950-{연무}{강도0}1200-{연무}{강도0}1500-1740. {진눈깨비}1805-{진눈깨비}{강도0}2100-{비}2250-{비}{강도0}2400-,,O
90,2014-12-16,-1.8,-7.6,2246,4,521,3.33,,,,,0,15.1,270,925,8.7,290,927,3.8,3287,290,-12.1,30,1323,47.9,2.9,1010.9,1016.3,2229,1010.9,1404,1013.2,9.5,8.7,,,,,,,,,2,1.5,-0.9,-9,,,,,,,,,,,,,-{비}-0220. {비}0340-0440.,,X
90,2014-12-17,-7.5,-9.4,411,-4.9,1444,,,,,,,17.7,290,940,10.2,290,1027,5.8,4991,290,-22.8,23,1934,28.4,1,1016.2,1023.6,2318,1015,445,1018.6,9.5,8.9,,,,,,,,,0.3,0.3,-4.8,-12.6,,,,,,,,,,,,,,,X
90,2014-12-18,-5.2,-10.8,714,0.7,1451,,,,,,,6.8,290,829,4.4,290,829,1.8,1591,290,-21.2,16,1309,27.9,1.2,1028.1,1033,2145,1023.5,2,1030.5,9.5,8.9,,,,,,,,,0.1,0.1,-4.3,-14.2,,,,,,,,,,,,,,,X
90,2014-12-19,1.8,-5,4,6.9,1948,,,,,,,11.8,290,126,2.8,270,618,1.4,1187,270,-10.1,27,102,41.1,3,1023.7,1032.4,1,1018.2,2358,1026,9.5,0,,,,,,,,,6.6,,-1.2,-8.9,,,,,,,,,,,,,,,X
90,2014-12-20,2.9,-2.7,2244,7.6,453,,,,,,,15,270,1448,7.9,290,1447,3.3,2876,320,-9.5,22,1620,42,3.5,1014.2,1021.8,2305,1012.4,540,1016.5,9.5,7.8,,,,,,,,,3.1,2.4,1.1,-6,,,,,,,,,,,,,,,X
90,2014-12-21,-3.1,-5.5,715,0.3,1359,,,,,,,13.1,290,1554,7.6,290,447,3.4,2956,290,-17.2,27,2358,32.6,1.6,1017.4,1022.2,708,1016.8,1542,1019.7,9.5,8.9,,,,,,,,,0.3,0.3,-2.4,-9.2,,,,,,,,,,,,,,,X
90,2014-12-22,-1.1,-5.2,37,2.7,1347,,,,,,,15.2,270,143,8.7,360,450,3.5,3025,290,-14.1,21,306,37.1,2.1,1017.3,1023.4,2346,1016.5,1423,1019.6,9.5,8.2,,,,,,,,,0.3,0.3,-1.7,-7.7,,,,,,,,,,,,,,,X
90,2014-12-23,4.9,-1.4,15,7.6,1510,,,,,,,13,290,1357,6.9,290,2005,3,2612,270,-6.8,35,336,42.6,3.8,1020.2,1025.2,902,1020.2,2311,1022.5,9.5,5.4,,,,,,,,,5.6,3.6,0.4,-6.7,,,,,,,,,,,,,,,X
90,2014-12-24,5.9,0.5,2247,9.2,1348,,,,,,,10.7,290,445,5.4,290,1424,3,2593,290,-4.2,29,1608,49.4,4.6,1016.5,1021.7,2357,1015.5,1403,1018.7,9.5,6.7,,,,,,,,,4.8,4,2.8,-4.9,,,,,,,,,,,,,,,X
90,2014-12-25,0.7,-2.3,532,4.4,1445,,,,,,,12,290,1326,6.7,290,1232,2.6,2241,290,-12.8,25,1603,36.4,2.3,1021.8,1027.1,2323,1021.7,1,1024.1,9.5,8.9,,,,,,,,,0,0,-0.4,-7.3,,,,,,,,,,,,,,,X
90,2014-12-26,-0.5,-4.5,742,4.3,1422,,,,,,,8.5,290,651,2.7,160,1557,1.5,1271,270,-13.4,24,1048,37.6,2.2,1026.4,1030,2338,1026.7,15,1028.7,9.5,8.9,,,,,,,,,0,0,-1,-9.3,,,,,,,,,,,,,,,X
90,2014-12-27,3.5,-1.5,645,8.1,1413,,,,,,,7.9,270,931,4.6,290,2240,2,1766,290,-11.1,25,2254,33.8,2.7,1025.6,1030.8,742,1024.6,2342,1027.8,9.5,8.2,,,,,,,,,3.4,1.3,0.4,-4.6,,,,,,,,,,,,,,,X
90,2014-12-28,4.2,1.3,759,7.4,1511,,,,,,,8.5,290,1233,5.3,290,1324,1.9,1674,290,-6.4,20,31,46.3,3.8,1016.9,1024.5,1,1015.3,2352,1019.2,9.5,7.9,,,,,,,,,3.5,0.5,1,-3.5,,,,,,,,,,,,,,,X
90,2014-12-29,5.1,1,634,7.8,1303,,,,,,,12.2,290,1509,6.3,270,1518,2.4,2063,270,-4.6,38,1304,49.6,4.3,1010.2,1015.3,1,1010.3,1419,1012.4,9.5,7.1,,,,,,,,,2.8,2.1,1.3,-3.9,,,,,,,,,,,,,{연무}1140-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,,X
90,2014-12-30,5.9,2.2,2346,8.9,1410,,,,,,,16.2,270,1148,9,290,934,4.8,4120,290,-9.3,20,1357,33.8,3.1,1011.1,1016.4,2106,1010.5,358,1013.3,9.5,8.4,,,,,,,,,1.1,1.1,2.4,-3.1,,,,,,,,,,,,,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-{연무}{강도0}0900-{연무}{강도0}1200-1340.,,X
90,2014-12-31,1.7,-4.3,2358,5.4,1248,,,,,,,11.4,360,1432,7.9,360,1509,3,2571,290,-13.5,18,1212,31.9,2.2,1012.1,1016.8,2343,1011.8,1410,1014.4,9.6,5.2,,,,,,,,,4,2.3,1.1,-5.7,,,,,,,,,,,,,,,X
90,2015-01-01,-4.6,-7.9,757,-1.8,1156,,,,,,,11.3,290,32,6.1,290,41,2.2,1900,270,-19,23,1154,31.6,1.4,1016.4,1020.2,2053,1016.2,115,1018.7,9.6,8.9,,,,,,,,,1,0.5,-2.8,-10,,,,,,,,,,,,,,,X
90,2015-01-02,-2.9,-5.4,2258,0.9,1430,,,,,,,17.6,320,710,11.5,290,727,3.4,2918,290,-18,24,1304,30.4,1.5,1018.3,1023,1928,1017.2,701,1020.6,9.6,7.7,,,,,,,,,2.5,1.4,-1.8,-10,,,,,,,,,,,,,,,X
90,2015-01-03,1.1,-7.2,153,6.9,1331,,,,,,,13.2,290,1829,7.2,290,1845,2.5,2152,320,-14.1,16,1305,32.5,2.2,1016.3,1022.6,18,1014.9,2358,1018.6,9.6,8.9,,,,,,,,,3,1.4,-0.5,-9.8,,,,,,,,,,,,,,,X
90,2015-01-04,5.8,1.9,2342,10.4,1335,,,,,,,12.2,270,324,6.5,290,330,2.2,1905,250,-3.7,36,1526,50.8,4.7,1013.5,1018.9,2317,1013.6,548,1015.7,9.6,8.7,,,,,,,,,1.8,1.5,2.8,-3.3,,,,,,,,,,,,,,,X
90,2015-01-05,7.3,2.2,212,12.2,1716,,,,,,,11.6,290,1908,7.6,290,1915,2.4,2053,270,-4.4,20,1714,45.8,4.6,1012.3,1020.4,257,1007.6,2351,1014.5,9.6,3.9,,,,,,,,,6.8,2.8,2.7,-3.2,,,,,,,,,,,,,,,O
90,2015-01-06,3.4,-2.4,2336,8.6,41,1.67,,,,,0,9.1,290,1940,5.4,290,45,3,2569,290,-10.3,21,2005,38.6,3.3,1008.7,1015.3,2337,1006.3,528,1010.9,9.6,8.5,,,,,,,,,2.4,1.9,3.6,-6.8,,,,,,,,,,,,,{비}0140-{비}{강도0}0300-0320.,,X
90,2015-01-07,-2.2,-6.7,640,3.1,1444,,,,,,,6.2,290,2328,4.4,290,2328,2.2,1920,290,-18.2,19,1021,28.4,1.5,1017.1,1021.9,2235,1015.1,1,1019.4,9.6,9.1,,,,,,,,,0,0,-0.6,-9.9,,,,,,,,,,,,,,,X
90,2015-01-08,-0.5,-4.9,28,5.3,1327,,,,,,,6.1,250,235,3.3,290,2015,1.5,1289,270,-15.6,18,1247,30.9,1.9,1019.6,1023.2,939,1020.7,1347,1021.9,9.7,9,,,,,,,,,0.3,0,-0.3,-8.6,,,,,,,,,,,,,,,X
90,2015-01-09,1.5,-2.7,645,6.3,1331,,,,,,,10.5,360,1435,6.1,290,1212,2.2,1936,270,-15.7,19,1254,27,1.8,1018.5,1022.7,721,1019.1,2209,1020.8,9.7,9,,,,,,,,,0,0,0.4,-8.8,,,,,,,,,,,,,,,X
90,2015-01-10,3.1,-0.5,437,6.4,1501,,,,,,,14,290,1225,8.3,290,1225,2.8,2462,290,-11.1,23,654,35.1,2.7,1017.5,1021.5,936,1018.6,1418,1019.7,9.7,9.1,,,,,,,,,2.3,2,1.4,-6.2,,,,,,,,,,,,,,,O
90,2015-01-11,1.8,-1.3,2159,4.6,356,2.5,,,,,0,13.5,360,840,8.1,360,846,3.7,3187,,-4.8,34,2327,62.4,4.4,1019.2,1028.3,2356,1015.7,417,1021.5,9.7,5.8,,,,,,,,,4.4,4.1,1.8,-5.6,,,,,,,,,,,,,{눈}0840-{눈}{강도0}0900-1040. {눈}1240-1310.,,X
90,2015-01-12,-0.2,-4.7,641,4.9,1423,,,,,,,6.3,320,5,3.9,360,2,1.5,1329,250,-12.3,24,1159,40.5,2.4,1031.4,1035.3,1011,1028.4,1,1033.7,9.7,9,,,,,,,,,0,0,0.6,-7.7,,,,,,,,,,,,,,,X
90,2015-01-13,3.2,-3,137,8.3,1456,,,,,,,3.8,140,1212,2.6,160,1216,1.3,1090,270,-11.3,24,1044,33.8,2.6,1029.7,1034.2,941,1029.4,2342,1031.9,9.8,8.7,,,,,,,,,4.1,1,0.3,-7.9,,,,,,,,,,,,,,,X
90,2015-01-14,4.8,-0.4,117,8,1157,,,,,,,7.9,360,1450,6,360,1458,2.1,1820,290,-6.4,22,533,46.9,4.1,1024.4,1029.4,1,1024.9,1408,1026.7,9.8,0.2,,,,,,,,,8.9,5.1,1.6,-4.2,,,,,,,,,,,,,,,O
90,2015-01-15,3.4,1.1,2136,4.8,253,11.5,,,,,0.5,6.1,360,1326,3.3,360,350,1.7,1472,320,1.2,72,255,86.6,6.7,1020.7,1024.9,1,1022,1355,1023,9.8,0,,,,,,,,,8.5,6.9,1.9,-1.4,,,,,,,,,,,,,{비}0405-{비}{강도0}0600-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500-1535. {박무}0940-{박무}{강도0}1200-{박무}{강도0}1500-{박무}{강도0}1800-{강도0}2100-2140.,,X
90,2015-01-16,2.9,0,258,7.2,1142,,,,,,,15.7,290,2115,8.4,290,2123,2.8,2417,270,-3.7,44,2023,63.6,4.7,1014,1022,1,1012.5,1602,1016.2,9.8,6.4,,,,,,,,,5.3,4,2,-3.5,,,,,,,,,,,,,{박무}0240-{박무}{강도0}0300-{박무}{강도0}0600-0630. {연무}0840-{연무}{강도0}0900-{연무}{강도0}1200-{연무}{강도0}1500-1740.,,X
90,2015-01-17,0.8,-3.4,646,5.3,1440,,,,,,,9.5,270,1527,4.8,290,1347,2.2,1928,270,-14.9,18,1543,32,2,1020.4,1024.6,2158,1016.9,1,1022.7,9.8,9,,,,,,,,,0.5,0.5,1,-8.3,,,,,,,,,,,,,,,X
90,2015-01-18,2.8,-0.3,521,6.1,1416,,,,,,,12.6,290,1435,7.5,290,1436,2.4,2035,290,-10.7,17,26,38.1,3,1016,1023.9,1,1011.5,2315,1018.2,9.9,4,,,,,,,,,5.1,4,1.2,-5.3,,,,,,,,,,,,,,,O
90,2015-01-19,3.4,0.1,2113,7,1351,0.5,,,,,0,12.4,200,1406,5.9,270,1553,2.8,2430,270,-7.2,33,1428,46.6,3.6,1016.4,1024.6,2342,1012.1,1,1018.7,9.9,8.6,,,,,,,,,2,2,3.2,-5.4,,,,,,,,,,,,,{눈}0450-0520.,,X
90,2015-01-20,1.3,-2.8,439,5.9,1326,,,,,,,4.8,270,316,3.3,290,320,1.4,1250,290,-6.6,35,1004,56,3.8,1025.2,1029,1032,1024.6,11,1027.5,9.9,7.9,,,,,,,,,4.5,,1.3,-7.6,,,,,,,,,,,,,,,X
90,2015-01-21,2.4,-1.3,55,5,1453,,,,,,,5.2,50,1203,3.2,360,1237,1.6,1406,,-1.6,61,1015,75.3,5.5,1021.3,1028.2,8,1020.9,2354,1023.6,9.9,2.2,,,,,,,,,8.5,,2.6,-3.3,,,,,,,,,,,,,{햇무리}1130-1220.,,O
90,2015-01-22,2.2,0.8,1452,4.5,755,12.42,,,,,4,11,70,842,6.3,50,748,2.9,2514,320,0.3,71,1313,88.1,6.3,1018.6,1022,2008,1019.5,545,1020.9,10,0,,,,0.5,1500,0.5,1500,0.5,10,,1,0.4,,,,,,,,,,,,,{비}0040-{비}{강도0}0300-{비}{강도0}0600-{진눈깨비}0640-{비}0740-{비}{강도0}0900-1120. {진눈깨비}1410-{눈}1430-{눈}{강도0}1500-1555.,,X
90,2015-01-23,2.8,-2.5,743,7.3,1340,,,,,,,7,270,2059,4.1,290,2106,1.8,1578,270,-4.3,43,2351,60.5,4.4,1018.2,1021.9,254,1018.7,1438,1020.5,10,9.1,,,,,,,,,1.1,1.1,3.1,-4.3,,,,,,,,,,,,,,,X
90,2015-01-24,5.1,1,432,9.3,1441,,,,,,,10.4,270,652,6.2,290,658,1.9,1683,270,-5.6,34,1407,46.1,4,1021.9,1027.8,2311,1020,50,1024.2,10,9.1,,,,,,,,,1,0,2.9,-3.8,,,,,,,,,,,,,,,O
90,2015-01-25,3.5,0.6,650,5.9,1232,6.33,,,,,1.5,6.8,20,1441,5.1,360,1439,1.9,1632,,-0.7,52,11,75.6,5.9,1022.9,1027.9,153,1022.4,2359,1025.2,10.1,0,,,,,,,,,8.3,,2,-2.1,,,,,,,,,,,,,{연무}1620-1740. {박무}1730-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400- {비}1740-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400-,,O
90,2015-01-26,4.5,1.6,1,8.2,2052,8.25,,,,,1,9.6,320,2240,6.2,290,2200,1.8,1571,320,2.3,47,2241,88.9,7.3,1016.2,1022.4,1,1015,2031,1018.5,10.1,0,,,,,,,,,9.3,,3.5,1.1,,,,,,,,,,,,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도1}0900-{박무}{강도0}1200-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2045. {연무}2040-{연무}{강도0}2100-2145. -{비}-{비}{강도0}0300-0535. {안개비}0750-{안개비}{강도0}0900-1030.,,O
90,2015-01-27,0.3,-3.7,2353,6.1,20,8.33,,,,,1.2,12.1,290,144,8.4,290,148,2.7,2305,,-2.7,54,40,82.3,5.1,1020,1023.9,1105,1016.1,2,1022.3,10.1,1.1,,,,2.2,1835,2.2,1835,2.2,7.4,,1.1,-4.9,,,,,,,,,,,,,{박무}1040-{박무}{강도0}1200-{박무}{강도0}1500-{박무}{강도1}1800-1910. {눈}1050-{눈}{강도0}1200-{눈}{강도0}1500-{눈}{강도0}1800-1910.,,O
90,2015-01-28,-1.6,-4.5,416,0.8,1438,2.33,,,,,0.5,8,270,1940,5.6,360,1204,2,1689,,-5,64,506,77.9,4.2,1026.1,1030.2,1104,1023.9,1,1028.4,10.1,3.7,,,,1,745,3,745,1,5.6,5.1,0.6,-5.8,,,,,,,,,,,,,{눈}0550-{눈}{강도0}0600-0810.,,X
90,2015-01-29,0.1,-2.7,124,2.1,1321,,,,,,,4.7,340,1555,3.4,360,1559,1.5,1320,,-4.5,60,613,70.9,4.4,1024.6,1029.9,255,1023.2,2349,1026.9,10.2,0,,,,,,,,,8.1,,-0.4,-5.6,,,,,,,,,,,,,,,X
90,2015-01-30,1.1,-2.8,2332,4,1302,,,,,,,15.1,290,1832,7.1,290,1048,3,2578,290,-11.4,27,1540,39,2.6,1020.1,1026.1,2329,1020,1312,1022.4,10.2,9,,,,,,,,,2,1.3,1,-7.3,,,,,,,,,,,,,,,X
90,2015-01-31,-1.9,-4.5,431,1.1,1344,,,,,,,6.7,360,1027,4.4,360,1047,2.2,1881,290,-9.5,42,3,56.5,3,1027.7,1031.7,1110,1026,16,1030,10.2,9,,,,,,,,,0.5,0.5,0,-7.6,,,,,,,,,,,,,,,X
90,2015-02-01,-0.4,-4.4,1,3.8,1450,,,,,,,5.5,50,1223,3.7,50,1223,1.8,1548,270,-10.7,30,955,46.4,2.8,1029.3,1032.9,1031,1030.8,447,1031.6,10.3,9.6,,,,,,,,,0,0,0.3,-8.3,,,,,,,,,,,,,,,X
90,2015-02-02,0.2,-3.3,658,3.9,1427,,,,,,,5.2,50,1422,3.2,50,1353,1.8,1585,290,-5.2,41,946,67.8,4.3,1029.4,1033,1101,1030.7,1422,1031.7,10.3,6.1,,,,,,,,,2.1,0.8,0.9,-6.2,,,,,,,,,,,,,,,X
90,2015-02-03,1.1,-3,120,4.6,1310,,,,,,,4.9,50,1500,3.1,20,1352,1.7,1476,290,-1.7,66,1123,81.4,5.4,1026.7,1031.4,807,1026.1,2356,1029,10.3,6,,,,,,,,,5.1,3.9,0.7,-6.3,,,,,,,,,,,,,,,O
90,2015-02-04,1.3,-2.4,559,4.4,1323,1.5,,,,,0.4,8.2,340,1531,6.3,360,1531,2.2,1863,,-1.4,63,1120,83.1,5.6,1020,1026.1,1,1019.8,1616,1022.3,10.4,6.5,,,,,,,,,7.6,,1.3,-5.2,,,,,,,,,,,,,{비}1910-{진눈깨비}1915-2040.,,O
